Mes,Nuevos,Cancelados,Activos,MRR,Costos_Fijos,Infra,Publicidad,Personal,Impuestos,Flujo,Balance_Acum
0,0,0,0,0,0,0,0,0,0.00,-10000.00,-10000.00
1,4,0,4,120,300,100,300,0,0.00,-580.00,-10580.00
2,5,0,9,270,300,100,300,0,0.00,-430.00,-11010.00
3,6,1,14,420,300,100,300,0,0.00,-280.00,-11290.00
4,7,1,20,600,300,100,300,0,0.00,-100.00,-11390.00
5,8,1,27,810,300,118,300,250,0.00,-158.00,-11548.00
6,9,2,34,1020,300,118,300,250,7.80,44.20,-11503.80
7,10,2,42,1260,300,118,300,250,43.80,248.20,-11255.60
8,11,3,50,1500,300,136,300,250,77.10,436.90,-10818.70
9,12,3,59,1770,300,136,300,250,117.60,666.40,-10152.30
10,13,4,68,2040,300,136,300,550,113.10,640.90,-9511.40
11,14,4,78,2340,300,154,300,550,155.40,880.60,-8630.80
12,15,5,88,2640,300,154,300,550,200.40,1135.60,-7495.20
